2024-04-19 15:56:07 INFO  Keywords:96 - Navigate is called
2024-04-19 15:56:13 INFO  Keywords:124 - InputText is called
2024-04-19 15:56:13 INFO  Keywords:285 - Waiting for webElement...login.username
2024-04-19 15:56:13 INFO  Keywords:289 - Element found...login.username
2024-04-19 15:56:13 INFO  Keywords:124 - InputText is called
2024-04-19 15:56:13 INFO  Keywords:285 - Waiting for webElement...login.password
2024-04-19 15:56:14 INFO  Keywords:289 - Element found...login.password
2024-04-19 15:56:14 INFO  Keywords:137 - ClickOnLink is called
2024-04-19 15:56:14 INFO  Keywords:285 - Waiting for webElement...login.loginbutton
2024-04-19 15:56:14 INFO  Keywords:289 - Element found...login.loginbutton
2024-04-19 15:56:24 INFO  Keywords:285 - Waiting for webElement...userlist.partner
2024-04-19 15:56:24 INFO  Keywords:289 - Element found...userlist.partner
2024-04-19 15:56:34 INFO  Keywords:285 - Waiting for webElement...userlist.userrole
2024-04-19 15:56:34 INFO  Keywords:289 - Element found...userlist.userrole
2024-04-19 15:56:34 INFO  Keywords:124 - InputText is called
2024-04-19 15:56:34 INFO  Keywords:285 - Waiting for webElement...userlist.loginID
2024-04-19 15:56:34 INFO  Keywords:289 - Element found...userlist.loginID
2024-04-19 15:56:34 INFO  Keywords:137 - ClickOnLink is called
2024-04-19 15:56:34 INFO  Keywords:285 - Waiting for webElement...userlist.search
2024-04-19 15:56:34 INFO  Keywords:289 - Element found...userlist.search
2024-04-19 15:56:44 INFO  Keywords:137 - ClickOnLink is called
2024-04-19 15:56:44 INFO  Keywords:285 - Waiting for webElement...userlist.selectuser
2024-04-19 15:56:44 INFO  Keywords:289 - Element found...userlist.selectuser
2024-04-19 15:56:44 INFO  Keywords:137 - ClickOnLink is called
2024-04-19 15:56:44 INFO  Keywords:285 - Waiting for webElement...userlist.login
2024-04-19 15:56:44 INFO  Keywords:289 - Element found...userlist.login
2024-04-19 15:56:57 INFO  Keywords:285 - Waiting for webElement...userinformation.initialaction
2024-04-19 15:56:57 INFO  Keywords:289 - Element found...userinformation.initialaction
2024-04-19 15:56:57 INFO  Keywords:285 - Waiting for webElement...userinformation.rawxml
2024-04-19 15:56:57 INFO  Keywords:289 - Element found...userinformation.rawxml
2024-04-19 15:57:08 INFO  Keywords:444 - switching to parent window...
2024-04-19 15:57:32 INFO  Keywords:137 - ClickOnLink is called
2024-04-19 15:57:32 INFO  Keywords:285 - Waiting for webElement...userinformation.samllogin
2024-04-19 15:57:33 INFO  Keywords:289 - Element found...userinformation.samllogin
2024-04-19 15:57:43 INFO  Keywords:285 - Waiting for webElement...carrier.Account
2024-04-19 15:57:43 INFO  Keywords:289 - Element found...carrier.Account
2024-04-19 15:57:53 INFO  Keywords:285 - Waiting for webElement...carrier.AgentName
2024-04-19 15:57:53 INFO  Keywords:289 - Element found...carrier.AgentName
2024-04-19 15:58:03 INFO  Keywords:285 - Waiting for webElement...Carrier.SolicitationState
2024-04-19 15:58:03 INFO  Keywords:289 - Element found...Carrier.SolicitationState
2024-04-19 15:58:13 INFO  Keywords:285 - Waiting for webElement...carrier.carrierName
2024-04-19 15:58:13 INFO  Keywords:289 - Element found...carrier.carrierName
2024-04-19 15:58:23 INFO  Keywords:285 - Waiting for webElement...carrier.carrierProduct
2024-04-19 15:58:23 INFO  Keywords:289 - Element found...carrier.carrierProduct
2024-04-19 15:58:33 INFO  Keywords:137 - ClickOnLink is called
2024-04-19 15:58:33 INFO  Keywords:285 - Waiting for webElement...next
2024-04-19 15:58:33 INFO  Keywords:289 - Element found...next
2024-04-19 15:58:43 INFO  Keywords:285 - Waiting for webElement...plan.accountDesignation
2024-04-19 15:58:44 INFO  Keywords:289 - Element found...plan.accountDesignation
2024-04-19 15:58:54 INFO  Keywords:285 - Waiting for webElement...plan.planType
2024-04-19 15:58:54 INFO  Keywords:289 - Element found...plan.planType
2024-04-19 15:59:04 INFO  Keywords:285 - Waiting for webElement...plan.ownerType
2024-04-19 15:59:04 INFO  Keywords:289 - Element found...plan.ownerType
2024-04-19 15:59:14 INFO  Keywords:285 - Waiting for webElement...plan.owninsuranceplan
2024-04-19 15:59:14 INFO  Keywords:289 - Element found...plan.owninsuranceplan
2024-04-19 15:59:14 INFO  Keywords:137 - ClickOnLink is called
2024-04-19 15:59:14 INFO  Keywords:285 - Waiting for webElement...next
2024-04-19 15:59:14 INFO  Keywords:289 - Element found...next
2024-04-19 15:59:31 INFO  Keywords:124 - InputText is called
2024-04-19 15:59:31 INFO  Keywords:285 - Waiting for webElement...trustOwner.Trust_Name
2024-04-19 15:59:31 INFO  Keywords:289 - Element found...trustOwner.Trust_Name
2024-04-19 15:59:31 INFO  Keywords:124 - InputText is called
2024-04-19 15:59:31 INFO  Keywords:285 - Waiting for webElement...trustOwner.Trust_Date
2024-04-19 15:59:31 INFO  Keywords:289 - Element found...trustOwner.Trust_Date
2024-04-19 15:59:31 INFO  Keywords:124 - InputText is called
2024-04-19 15:59:31 INFO  Keywords:285 - Waiting for webElement...trustOwner.taxIdentification1
2024-04-19 15:59:31 INFO  Keywords:289 - Element found...trustOwner.taxIdentification1
2024-04-19 15:59:31 INFO  Keywords:124 - InputText is called
2024-04-19 15:59:31 INFO  Keywords:285 - Waiting for webElement...trustOwner.taxIdentification2
2024-04-19 15:59:31 INFO  Keywords:289 - Element found...trustOwner.taxIdentification2
2024-04-19 15:59:31 INFO  Keywords:520 - ClearText is called
